x_actual,y_actual,x_pred,y_pred,error
998.588223267404,510.99999632306674,1005.3061107532563,536.4377120786423,26.309834570632137
1043.882337970127,545.7647137943381,1066.4633194354906,544.8783245072318,22.598371841957697
972.8235413947292,430.4117667344799,980.9037752913582,437.7453038820322,10.911963476788312
911.9411747784236,553.9411858028192,892.8014086459402,537.724294836127,25.086215342927673
1129.2941165198868,487.58823469661854,1148.7759320407008,493.6322670513706,20.397829862324105
997.5294250804652,473.4117633804179,1015.3964222386207,483.5440992451768,20.540053980596497
1015.1764710016674,426.5294136739742,1004.561851886652,425.4329657292992,10.67109821209763
970.0588280512264,467.9999996771288,986.1505368378704,474.1942612930874,17.242736692331984
861.3529398339887,412.8823515086568,872.5447208221029,485.40813597183535,73.38423109691443
956.8823459765824,491.9999969080076,956.936137695908,492.6822776886666,0.6843979929285959
1008.7647178800048,459.5882314981394,1026.0427862264592,457.0928422697043,17.457336944280406
1113.2352840424696,473.4705898339652,1098.508410826691,469.0566288633289,15.37412911887752
1018.3529302159926,462.0588268229564,1030.9027904833022,479.76661157087983,21.70402343824261
979.294129209404,493.058824853455,986.324875024362,487.00739579544546,9.276377545069598
964.1176554933982,435.64706072080793,974.9746282861676,434.5809517962739,10.909190916924409
864.5882337413261,466.29411931738434,860.1602927204472,468.0972947738237,4.781014893418334
991.9999983934592,449.705879129914,997.39368503873,445.33555581539264,6.942015665555777
966.705897084619,515.8823508754726,978.2774851102058,511.2616197424578,12.460048380223775
1054.7058848988447,468.7647049985205,1102.5051291072205,470.947966850642,47.84907918870405
1011.7058706490355,447.5882328827,1014.4039585517156,454.1095888677436,7.057461456802436
988.823539179134,518.4705894637034,989.611309857164,522.8488881023368,4.4486044564810365
990.2352808706372,478.2352914792764,995.1768132020828,472.6720737673051,7.440976622293156
845.7058855541484,553.9999929690048,827.3528233167997,569.2293902979363,23.848887531506836
1019.8235389272623,493.35293783382986,1045.7435185280856,465.5385079870902,38.01957193612645
866.8823503576175,521.1176448618006,840.2797266840806,525.8719120443678,27.024112247381225
1008.117633237134,565.1764790968668,1003.1755513508634,595.6703574658784,30.891759279048422
986.8823499040298,530.7058746059703,999.299508844518,525.0776584846697,13.633145376669848
1115.352945069856,492.0588233615549,1138.1086849695184,481.6191819609371,25.03617005363595
986.7058781517476,487.0588255457353,988.7719133523536,481.78351992731416,5.66545239304763
999.9411625926492,443.7058846440347,1015.404406946958,452.29329800526745,17.687724392859074
969.9411909919564,481.294122408524,909.4980964778464,441.0984310215919,72.58829988720721
931.2353011631778,542.4705866945822,936.8553074160192,554.9788458686705,13.712804886241976
978.4705728142508,480.470590633585,973.806307055314,483.04276284942074,5.326485236805493
1025.4706026735385,493.235294570416,1027.563048832491,485.68719516631063,7.832760403738309
1088.7647068020285,498.99999770762736,1098.209485328733,496.9376290393861,9.66732672160422
1036.2352825824892,405.3529415581537,1059.2402617585933,427.8377622192714,32.1682487408875
979.7058750802262,445.17646883327075,964.2438268158304,443.52099117179927,15.550419377564564
1024.176465714551,459.4705882347256,1009.0633524371732,453.4114442319886,16.282488107803236
1007.0000003571828,434.47058951194674,1005.1853056720548,440.531941917612,6.327172337300122
1043.882337970127,472.4117618885178,1054.9089938967545,482.7693837830011,15.128366476037918
851.0588243254949,542.8235261285043,841.1276736154304,543.3232616732294,9.94371610821013
976.1764723613368,542.8235261285043,1007.6590458991828,576.2980155309074,45.95317048167056
1095.4706010619975,465.47058754244534,1106.7789846532407,476.067980275379,15.497879602795157
1035.941173770937,535.1176464610402,1076.9348926622756,548.1623064546711,43.01916018347556
874.4117686859854,511.4705886640836,876.8652400381029,524.1076777714406,12.873054912604983
991.9999983934592,493.47059074092454,988.0754334287558,487.1380387407251,7.45006208010427
909.6470581621322,408.8235287311899,826.5242239479597,466.4483603498493,101.14359488803849
984.2353059465512,448.5882343746001,987.56489699648,441.5216536019818,7.811705343630455
854.823533489679,540.7058895249713,840.1459100842322,560.9202791022274,24.981076334161344
988.8823415453918,436.4117660421996,1003.1583535175214,435.8252084382473,14.288056818585996
1110.7647118372734,473.2352936634568,1118.6086371592214,482.9592678601072,12.493311756032563
859.2941134996145,542.8235261285043,852.3838010081823,561.3995314687008,19.819697099810885
