mean_x,std_x,min_x,max_x,var_x,median_x,iqr_x,mean_y,std_y,min_y,max_y,var_y,median_y,iqr_y,mean_speed,std_speed,max_speed,median_speed,p95_speed,total_scanpath_length,average_step_length,std_step_length,max_step_length,mean_abs_acceleration,mean_turning_angle,mean_timestamp_interval,std_timestamp_interval,max_timestamp_interval,duration_seconds,sampling_rate_hz,covariance_xy,correlation_xy,bounding_box_area,path_efficiency,fixation_ratio,stationary_step_ratio,spatial_entropy,participant,cluster
780.7776893698282,306.4475204967317,-132.0,2348.0,93910.0828185948,895.0,375.25,374.7215149586251,110.90669994838049,-546.0,1437.0,12300.2960934401,386.0,116.0,1726.5024974856522,2020.4725799812363,47884.43322534475,1145.501993842884,4940.535894425914,364699.2671297226,58.04540301284778,80.34526606812834,1973.094270429064,38109.052904227385,1.9872840298497416,33.71319433391692,24.801549371277893,868.0,211.82,29.661977150410728,-2101.3505798222145,-0.06182791759760377,4917840.0,0.001060187796139561,0.007798822218685341,0.0006366385484641095,0.481614945287655,P11_PLAY,0
916.4737428389561,155.36245411783884,-493.0,2455.0,24137.492149517577,901.0,271.0,484.80235518777846,220.3621803656647,-135.0,1325.0,48559.49053550974,467.0,292.0,872.1795667979799,1421.3841267483303,35761.935289145076,501.10987927909696,2625.1554997513376,184652.3800305916,29.38920579827974,61.365662882061045,1527.2527623153935,22172.725506998282,1.9411426167204966,35.05204520133694,76.70353599244883,4656.0,220.232,28.529005775727416,-2343.3398490442446,-0.06844664165470765,4304080.0,0.000691881593532862,0.02482890339010027,0.0014324367340442464,0.5213632455494589,P12_READ,1
990.1723424570338,250.82908175646813,-119.0,2236.0,62915.22825479297,960.0,148.25,492.04169318905156,167.12888768279385,-247.0,1498.0,27932.065098087918,490.0,115.0,1005.6430657703003,2139.9451086055374,35858.38840529465,441.5947749953688,4071.9971760510857,204892.7233694035,32.61065149918885,86.56405418669516,1738.9217923759538,30818.952472724075,1.7633836974850894,30.78608944771606,19.662829168308253,999.0,193.429,32.482202772076576,3650.3683714634435,0.087077766645024,4109475.0,0.00037583810672416073,0.03278688524590164,0.0027057138309724655,0.42396688842397523,P13_PLAY,1
988.7913749204329,177.82410879418728,113.0,1630.0,31621.41366844696,973.0,211.0,523.2334500318268,140.4306929556284,85.0,1085.0,19720.77952399798,506.0,167.0,1119.1288187155549,1572.2945777723396,20308.275049913977,715.1771952246028,3630.4242173616854,228447.02054147254,36.35954488961842,52.588886732414245,746.4274914551312,30111.303614936012,1.8318936355748254,33.31784179532071,19.66230207429572,895.0,209.336,30.013948866893415,-780.501105507364,-0.03125509640811961,1517000.0,0.0007889252983646935,0.009231258952729587,0.0001591596371160274,0.6406383359085982,P14_PLAY,1
824.93809675366,273.7749011835884,-1661.0,1739.0,74952.69651808357,919.5,240.0,388.2422024188415,84.7233031205016,19.0,1433.0,7178.038091648396,399.0,70.0,529.2537048687572,1319.5463870895485,39746.58495550278,284.8001248439177,1554.5261389521095,116690.06930370143,18.572349085421205,54.803024789119725,1954.795385711763,15071.847460282144,1.9433112002967565,33.930606398217414,27.55207112598164,1853.0,213.186,29.471916542362067,-850.6793098757279,-0.03667493559570059,4807600.0,0.007542999724577387,0.06286805666083081,0.003819831290784657,0.3559453236552834,P15_PLAY,0
953.9338001273074,288.0379495021688,-844.0,2008.0,82965.86035341391,948.0,254.25,476.47278803309996,202.05028898421546,-178.0,1206.0,40824.31927860498,488.0,250.0,1709.1598649410375,2823.301242513324,47203.66011360468,892.8571428571429,6944.439117082573,319670.75514995836,50.87868138627381,92.75806686579818,2548.9976461346528,55008.940375306134,1.8587134379552923,30.036288397262453,25.444448878128018,1088.0,188.718,33.293061605146306,1765.9159261333189,0.030343162072202064,3947168.0,0.002080359444191088,0.009390418589845614,0.0004774789113480821,0.6559891617051005,P16_PLAY,1
819.3795353278167,276.24385030734965,-81.0,3499.0,76310.6648326294,939.0,275.0,428.64640356460853,125.54343888051397,-162.0,1387.0,15761.155045945347,434.0,89.0,981.6575724356576,1637.6336237987728,31914.643103823746,592.1793467963167,2893.9287867783073,230218.02119037928,36.641416710230665,83.93422668338692,2622.5807899853153,23799.167611950023,1.9912117423058053,41.61960846729269,133.6690493285798,5242.0,261.496,24.027136170342953,-6510.27636417912,-0.18772096828800852,5545420.0,0.0009762140827440119,0.020213273913735477,0.0007957981855801369,0.3955978901090332,P17_PLAY,0
948.0881604073838,198.91243173704345,-54.0,1625.0,39566.155499543966,952.0,214.25,545.5100254614895,204.52176536812112,66.0,1531.0,41829.15250929279,506.0,179.0,842.4502841030384,1575.821196310966,24095.896847761425,363.8034375544994,3844.005135291364,201928.53257526804,32.138871968051575,66.13019769432172,1312.555522635138,22974.197309070572,1.6491479272555192,46.78386121279644,655.6485670902812,51805.0,293.943,21.37489241111372,-9531.818675064553,-0.2343010919470827,2459735.0,0.005961999628498896,0.037879993633614516,0.0011141174598121915,0.5798210780372732,P18_PLAY,3
830.2915340547422,266.5734827238747,63.0,2011.0,71061.42169153591,910.5,308.0,407.41327180140036,107.19647076238195,-225.0,1155.0,11491.083343910208,398.0,80.0,609.5334468405947,1498.7746041647404,27866.26859878866,223.1499907401901,2669.116401078074,149323.57981407538,23.766286776074388,64.80631530840988,1275.2983964547277,19210.9723315173,1.8207584900032026,37.26102180487028,18.32920837661885,595.0,234.111,26.837696648171168,-1530.0226152037185,-0.05354271840713471,2688240.0,0.0027242007878087618,0.09358586662422409,0.003978990927900684,0.48638379607617555,P19_PLAY,0
934.987110120942,236.4205254543899,-1409.0,2041.0,55894.66485612982,925.0,187.0,537.6311266709102,180.09470197405938,-103.0,1479.0,32434.101679125266,532.0,167.0,1854.4195696456436,2431.894835366437,53422.89291089027,1199.5655363482701,5529.22043215683,332367.8546439389,52.89954713416185,89.62332977209117,2447.622928475708,50925.76016999086,1.9414655303770543,28.390418589845616,17.621280267207275,883.0,178.377,35.22315096677262,-4965.648293879637,-0.11662451240061629,5457900.0,0.0028942098115739283,0.003342352379436575,0.0003183192742320548,0.4745041935971202,P20_PLAY,1
