t,x_actual,y_actual,x_pred,y_pred,alpha,error
62837.44230702334,1002.5360387392096,430.7287490672555,1002.5360744950402,430.7287648916341,0.9996334312820714,3.9101027873333027e-05
62871.153381222386,1007.978557146934,428.607417135766,1007.9785900597344,428.6074314242645,0.9996334312820714,3.5880546542047e-05
62904.86445542143,1014.4346415175796,429.613811364459,1014.4346737365884,429.61382512093263,0.9996334312820714,3.5032914388669084e-05
62938.57552962048,1014.9458839347308,430.8332777628642,1014.9459157091684,430.8332911883351,0.9996334312820714,3.449432061955122e-05
62972.28660381953,1020.620470019357,437.9907466796777,1020.6205010617348,437.9907597111119,0.9996334312820714,3.3666712004497616e-05
63005.997678018575,1020.655799020987,438.94572937534093,1020.655830484482,438.9457428483568,0.9996334312820714,3.4226797523517753e-05
63039.70875221762,1014.964705475603,435.52227833956846,1014.96473727864,435.52229204695385,0.9996334312820714,3.4631280338188e-05
63073.41982641667,1036.5432276023232,442.0111697756128,1036.54325848416,442.011183113076,0.9996334312820714,3.363890269439013e-05
63107.13090061571,1047.2033686797477,444.8128142091492,1047.2034008161795,444.8128279678316,0.9996334312820714,3.495785452475359e-05
63140.84197481476,1034.9119510782011,443.60157042137814,1034.911982611541,443.60158369668454,0.9996334312820714,3.421381705795806e-05
63174.553049013804,1019.84070419588,441.1999757807842,1019.8407346341266,441.1999887100319,0.9996334312820714,3.3070414353570146e-05
63208.26412321285,1004.0104792754544,434.6684416434357,1004.0105104286574,434.66845511093754,0.9996334312820714,3.393958848355575e-05
63241.9751974119,1000.5542424804936,432.1424777746111,1000.5542741298476,432.1424915088395,0.9996334312820714,3.4500878814194686e-05
63275.686271610946,1002.2184115052532,434.889502172507,1002.2184439183573,434.8895161062327,0.9996334312820714,3.52811284354073e-05
63309.39734580999,993.4544514582926,436.1732204354241,993.4544843729168,436.17323455251307,0.9996334312820714,3.5814308375333474e-05
63343.10842000904,974.6717883118774,433.0959662923792,974.6718213929396,433.0959806474155,0.9996334312820714,3.606138849421354e-05
63376.81949420809,970.2470592081006,440.4215992474977,970.2470923689934,440.4216136679377,0.9996334312820714,3.6160667913423604e-05
63410.530568407135,966.2159910181194,438.19824107353526,966.2160259543988,438.1982569450586,0.9996334312820714,3.837250144469008e-05
63444.24164260618,959.994574111028,423.0665547445835,959.9946105464528,423.0665717288976,0.9996334312820714,4.01995908705287e-05
63477.95271680523,955.8431143539628,415.51134823730064,955.8431507298571,415.5113644849114,0.9996334312820714,3.983955999758883e-05
63511.66379100428,959.445002532606,426.5421511640239,959.4450372815162,426.5421659257157,0.9996334312820714,3.775439446610625e-05
63545.374865203325,985.6151511462068,426.06705484587786,985.6151847728826,426.0670702297653,0.9996334312820714,3.697860618600288e-05
63579.08593940237,994.5220086887268,428.7806271809068,994.5220448558384,428.7806428586506,0.9996334312820714,3.941892455260402e-05
63612.79701360142,995.2830253585902,432.9652225591184,995.2830587571544,432.96523682956393,0.9996334312820714,3.631954997577319e-05
