t_sec,x,y,dt,dx,dy,disp,speed,accel,direction,roi,roi_change,dwell_time,fix_flag,fix_dur,sacc_amp,speed_mean,speed_std,accel_mean,disp_mean,Dax_fc,Day_fc,alpha_fc,participant,cluster,x_next,y_next,t_next,dt_next
1.9904705,766.1177,570.05884,0.041647077,15.0,51.47058,53.61176,1287.2875,20983.414,1.2872217,25,1,0.041647077,0,0.0,53.61176,574.2900569915771,473.1879902446252,1782.8457885742187,29.4169721364975,-11132.386,-7659.297,0.8,P05,0,770.7059,553.05884,2.0284705,0.037999988
2.0284705,770.7059,553.05884,0.037999988,4.588196,-17.0,17.60828,463.37595,-21681.889,-1.3071834,25,0,0.079647064,0,0.0,17.60828,481.5522121429443,376.36370026094994,-1713.6333129882812,18.71827027797699,-11315.171,-8291.902,0.8,P05,0,760.1177,513.7059,2.0652354,0.03676486
2.0652354,760.1177,513.7059,0.03676486,-10.588196,-39.352966,40.752495,1108.4633,17546.3,-1.8336291,17,1,0.03676486,0,0.0,40.752495,528.58405418396,424.4241824961322,1634.3186401367188,19.779226660728455,-11387.103,-8151.491,0.8,P05,0,775.94116,510.70587,2.0977647,0.032529354
2.0977647,775.94116,510.70587,0.032529354,15.823486,-3.0,16.105364,495.10248,-18855.61,-0.18736774,17,0,0.069294214,0,0.0,16.105364,495.7938564300537,411.6239725083399,-837.5505004882813,18.794877219200135,-11270.304,-7681.717,0.8,P05,0,774.41174,501.05884,2.130588,0.032823324
2.130588,774.41174,501.05884,0.032823324,-1.529419,-9.647034,9.767517,297.57855,-6017.7915,-1.7280256,17,0,0.10211754,0,0.0,9.767517,466.0865505218506,414.40718885306995,-916.8526977539062,17.172655272483826,-11453.229,-7604.1646,0.8,P05,0,787.8823,502.35294,2.1717646,0.041176558
2.1717646,787.8823,502.35294,0.041176558,13.470581,1.2940979,13.532599,328.64816,754.5461,0.09577454,18,1,0.041176558,0,0.0,13.532599,492.86489181518556,393.43412135951985,329.4887268066406,18.24844343662262,-11451.045,-7469.559,0.8,P05,0,816.82355,492.88235,2.208647,0.0368824
2.208647,816.82355,492.88235,0.0368824,28.941223,-9.470581,30.451376,825.63434,13474.887,-0.31625205,18,0,0.07805896,0,0.0,30.451376,564.4617095947266,380.8976042683937,1529.094305419922,20.931682777404784,-11617.852,-7465.489,0.8,P05,0,804.8823,488.64706,2.239588,0.03094101
2.239588,804.8823,488.64706,0.03094101,-11.941223,-4.2352905,12.670063,409.49094,-13449.574,-2.8007565,18,0,0.10899997,0,0.0,12.670063,578.3328430175782,371.42212303266064,-279.30198364257814,21.25733013153076,-11986.402,-7343.3237,0.8,P05,0,824.7647,505.64706,2.271353,0.031764984
2.271353,824.7647,505.64706,0.031764984,19.882385,17.0,26.159304,823.5264,13034.337,0.707406,18,0,0.14076495,0,0.0,26.159304,645.2497161865234,345.9569388016352,1391.3254089355469,23.383856201171874,-11884.688,-7275.847,0.8,P05,0,840.35297,488.29413,2.3037057,0.032352686
2.3037057,840.35297,488.29413,0.032352686,15.588257,-17.352936,23.32634,721.00165,-3168.9727,-0.8389176,18,0,0.17311764,0,0.0,23.32634,676.0109222412109,336.59942388073085,261.9648132324219,24.39850969314575,-12128.702,-7467.95,0.8,P05,0,842.7059,503.82352,2.3355882,0.031882524
2.3355882,842.7059,503.82352,0.031882524,2.3529053,15.529388,15.706625,492.64056,-7162.5786,1.420427,18,0,0.20500016,0,0.0,15.706625,596.5462310791015,261.7275601379887,-2552.634454345703,20.607996273040772,-12345.761,-7271.3945,0.8,P05,0,827.2941,487.29413,2.4031765,0.06758833
2.4031765,827.2941,487.29413,0.06758833,-15.411743,-16.529388,22.599613,334.37152,-2341.6624,-2.321218,18,0,0.2725885,0,0.0,22.599613,583.6457885742187,271.9985460020098,-618.6118225097656,21.10712957382202,-12406.328,-7441.339,0.8,P05,0,816.35297,493.41177,2.4355292,0.032352686
2.4355292,816.35297,493.41177,0.032352686,-10.941162,6.1176453,12.535335,387.45886,1640.8944,2.631759,18,0,0.30494118,0,0.0,12.535335,511.54534912109375,204.64605829957466,-2209.152459716797,18.285413551330567,-12239.554,-7253.9043,0.8,P05,0,780.5294,487.0,2.4668822,0.031352997
2.4668822,780.5294,487.0,0.031352997,-35.823547,-6.4117737,36.392822,1160.7446,24663.855,-2.964486,17,1,0.031352997,0,0.0,36.392822,578.1095642089844,289.4058035506288,2142.794024658203,20.314159393310547,-12100.193,-7311.5405,0.8,P05,0,778.7059,471.29413,2.498294,0.031411886
2.498294,778.7059,471.29413,0.031411886,-1.8235474,-15.705872,15.811379,503.35657,-20928.004,-1.6863849,9,1,0.031411886,0,0.0,15.811379,598.6873657226563,274.15676271255944,651.7727844238282,20.918545627593993,-11654.338,-7234.937,0.8,P05,0,800.82355,440.7647,2.5301764,0.031882286
2.5301764,800.82355,440.7647,0.031882286,22.117676,-30.529419,37.6993,1182.4528,21300.11,-0.943835,10,1,0.031882286,0,0.0,37.6993,684.0678253173828,311.1662665793989,2706.3291137695314,23.33521556854248,-11585.614,-7036.6523,0.8,P05,0,829.8823,431.88235,2.5622942,0.032117844
2.5622942,829.8823,431.88235,0.032117844,29.058777,-8.882355,30.385996,946.0783,-7359.599,-0.29664916,10,0,0.06400013,0,0.0,30.385996,696.1122222900391,319.4748728771346,622.8805297851562,23.328677558898924,-11832.534,-6644.8457,0.8,P05,0,827.1177,430.64706,2.5935292,0.03123498
2.5935292,827.1177,430.64706,0.03123498,-2.7646484,-1.2352905,3.0280726,96.94492,-27185.334,-2.7213893,10,0,0.09523511,0,0.0,3.0280726,664.8576210021972,362.9598905061019,-750.6954467773437,22.364478516578675,-12200.064,-6490.584,0.8,P05,0,830.35297,428.64706,2.624941,0.031411886
2.624941,830.35297,428.64706,0.031411886,3.2352905,-2.0,3.8035648,121.0868,768.55865,-0.5536818,10,0,0.126647,0,0.0,3.8035648,594.6136581420899,395.3658940586383,-1977.2732727050782,20.128904628753663,-12206.442,-6444.182,0.8,P05,0,861.4706,446.58823,2.6565292,0.031588078
2.6565292,861.4706,446.58823,0.031588078,31.117615,17.941162,35.91923,1137.1135,32164.88,0.5230056,11,1,0.031588078,0,0.0,35.91923,636.2248458862305,430.4835761747076,1556.112078857422,21.388193798065185,-12258.271,-6402.1045,0.8,P05,0,837.64703,449.0,2.6881177,0.031588554
2.6881177,837.64703,449.0,0.031588554,-23.823547,2.4117737,23.945314,758.03766,-12000.418,3.0407016,10,1,0.031588554,0,0.0,23.945314,662.7645553588867,428.82570115830225,1072.328143310547,22.212062740325926,-12645.652,-6605.2515,0.8,P05,0,831.0,453.47058,2.7210588,0.032941103
2.7210588,831.0,453.47058,0.032941103,-6.6470337,4.470581,8.010565,243.1784,-15629.69,2.5495157,10,0,0.06452966,0,0.0,8.010565,653.6452438354493,437.46774754188647,-256.47466430664065,20.753157901763917,-12401.721,-6646.656,0.8,P05,0,830.2941,462.64706,2.7529411,0.031882286
2.7529411,830.2941,462.64706,0.031882286,-0.7058716,9.176483,9.203591,288.67413,1426.9907,1.6475669,10,0,0.09641194,0,0.0,9.203591,643.7667709350586,445.1934848777522,-277.8650329589844,20.41998357772827,-12311.864,-6705.4897,0.8,P05,0,829.82355,450.82352,2.7992353,0.046294212
2.7992353,829.82355,450.82352,0.046294212,-0.47058105,-11.823547,11.832909,255.60233,-714.3832,-1.6105757,10,0,0.14270616,0,0.0,11.832909,553.2525405883789,419.689359058219,-2815.688897705078,17.963992214202882,-12295.25,-6822.876,0.8,P05,0,819.82355,451.52942,2.8308823,0.031646967
2.8308823,819.82355,451.52942,0.031646967,-10.0,0.7059021,10.024884,316.77237,1932.8881,3.0711193,10,0,0.17435312,0,0.0,10.024884,534.5941207885742,426.25035938680065,-529.5997009277344,17.38534269332886,-12286.763,-6693.1235,0.8,P05,0,750.7647,459.35294,2.8787057,0.04782343
2.8787057,750.7647,459.35294,0.04782343,-69.05884,7.823517,69.50058,1453.2747,23764.55,3.028786,9,1,0.04782343,0,0.0,69.50058,561.6763107299805,477.5077643078588,-283.1555603027344,20.56547079086304,-12164.763,-6692.5015,0.8,P05,0,721.5294,488.64706,2.9107058,0.032000065
2.9107058,721.5294,488.64706,0.032000065,-29.23529,29.294128,41.38657,1293.3276,-4998.3345,2.3551893,17,1,0.032000065,0,0.0,41.38657,596.4012435913086,519.3600273821222,-47.02909545898437,21.665528202056883,-11317.986,-6784.6934,0.8,P05,0,693.17645,498.70587,2.9434707,0.03276491
2.9434707,693.17645,498.70587,0.03276491,-28.352966,10.058807,30.084387,918.18915,-11449.397,2.800674,16,1,0.03276491,0,0.0,30.084387,678.5256660461425,496.0130121902851,1526.5645568847656,24.371159625053405,-10876.266,-7146.78,0.8,P05,0,673.58826,525.7647,2.9758234,0.032352686
2.9758234,673.58826,525.7647,0.032352686,-19.588196,27.058838,33.404762,1032.5189,3533.8572,2.1973906,16,0,0.0651176,0,0.0,33.404762,769.6688781738281,464.96863190129034,1803.0944091796875,27.331279373168947,-10462.444,-7306.585,0.8,P05,0,692.2941,525.64703,3.0074706,0.031647205
3.0074706,692.2941,525.64703,0.031647205,18.705872,-0.11767578,18.706242,591.0867,-13948.538,-0.006290764,16,0,0.0967648,0,0.0,18.706242,715.0661926269531,448.80383756479443,-2808.2474853515623,25.609980392456055,-10157.294,-7661.0083,0.8,P05,0,721.0,530.05884,3.0396469,0.032176256
3.0396469,721.0,530.05884,0.032176256,28.705872,4.411804,29.042917,902.6195,9682.072,0.15249674,25,1,0.032176256,0,0.0,29.042917,729.5243774414063,452.65430385790165,-639.9984619140625,26.119740676879882,-10325.092,-7705.658,0.8,P05,0,721.4706,534.82355,3.0717647,0.032117844
3.0717647,721.4706,534.82355,0.032117844,0.47058105,4.7647095,4.7878914,149.07263,-23461.94,1.4723518,25,0,0.0642941,0,0.0,4.7878914,720.1138000488281,464.70653874228265,-1423.2233642578126,25.797473335266112,-10663.33,-7779.7876,0.8,P05,0,757.5294,575.4706,3.1038823,0.032117605
