t_sec,x,y,dt,dx,dy,disp,speed,accel,direction,roi,roi_change,dwell_time,fix_flag,fix_dur,sacc_amp,speed_mean,speed_std,accel_mean,disp_mean,Dax_fc,Day_fc,alpha_fc,participant,cluster,x_next,y_next,t_next,dt_next
150.112,992.8675873357088,582.4783227094691,0.031999999999982265,7.141339920024393,7.702282960415005,10.503518394120768,328.2349498164559,2078.4269139667326,0.8231703600138088,37,0,0.19200000000000728,0,0.0,10.503518394120768,282.9042023707826,227.1353417258104,-516.9356832674337,9.05293447586608,-15180.075144353943,-8833.35743854886,0.8,CLUSTER_0_MEAN,0,999.1104523610264,606.5120930141043,150.144,0.03200000000001069
150.144,999.1104523610264,606.5120930141043,0.03200000000001069,6.242865025317656,24.03377030463514,24.831340656120368,775.9793955035024,13992.013927715529,1.3166588202676235,45,1,0.03200000000001069,0,0.0,24.831340656120368,340.876625588426,272.09500847365774,1811.6382255488584,10.908052018831288,-15266.413616243777,-8927.898756299533,0.8,CLUSTER_0_MEAN,0,1014.8313924006388,614.8443284646622,150.176,0.031999999999982265
150.176,1014.8313924006388,614.8443284646622,0.031999999999982265,15.720940039612401,8.33223545055796,17.792529424807007,556.0165445255271,-6873.839093065535,0.48736539429359893,45,0,0.06399999999999295,0,0.0,17.792529424807007,385.8170456434348,266.15164020617294,1404.3881267163024,12.346145460590773,-15352.189604496647,-9241.13185211197,0.8,CLUSTER_0_MEAN,0,1020.6941572998538,599.4404506067717,150.208,0.03200000000001069
150.208,1020.6941572998538,599.4404506067717,0.03200000000001069,5.862764899214994,-15.403877857890507,16.481852605950486,515.0578939357807,-1279.957830929148,-1.2071223513645233,45,0,0.09600000000000364,0,0.0,16.481852605950486,419.2453230841546,258.4175708542333,1044.6336700198895,13.415850338694161,-15560.061468164793,-9381.977165639875,0.8,CLUSTER_0_MEAN,0,1015.7146354702264,584.8232468851046,150.24,0.03200000000001069
150.24,1015.7146354702264,584.8232468851046,0.03200000000001069,-4.9795218296274015,-14.617203721667124,15.442094491760342,482.5654528673495,-1015.3887833881365,-1.8991278697569172,37,1,0.03200000000001069,0,0.0,15.442094491760342,459.66074753747097,229.1346639610215,1262.9820141637438,14.709143921200939,-15657.742477626689,-9215.049002956008,0.8,CLUSTER_0_MEAN,0,985.9924979825056,574.3057662785675,150.272,0.031999999999982265
150.272,985.9924979825056,574.3057662785675,0.031999999999982265,-29.72213748772083,-10.517480606537106,31.528127999420835,985.2539999824471,15709.017097355507,-2.8014830781518154,37,0,0.06399999999999295,0,0.0,31.528127999420835,494.80060585943585,280.09534802298646,1098.1205725604618,15.833619387501392,-15612.812629186557,-9025.696415535425,0.8,CLUSTER_0_MEAN,0,972.0120195072292,559.4764139815178,150.304,0.03200000000001069
150.304,972.0120195072292,559.4764139815178,0.03200000000001069,-13.980478475276414,-14.829352297049695,20.38046780492735,636.889618903767,-10886.386908705119,-2.326738284749299,36,1,0.03200000000001069,0,0.0,20.38046780492735,484.3249972251807,271.66974162494364,-327.36276982093904,15.498399911205116,-15242.054279124055,-8876.138889847067,0.8,CLUSTER_0_MEAN,0,966.9195619014648,556.8865455847522,150.336,0.03200000000001069
150.336,966.9195619014648,556.8865455847522,0.03200000000001069,-5.092457605764366,-2.5898683967656098,5.7131902453071355,178.53719516578835,-14323.513241807048,-2.6711130048090066,36,0,0.06400000000002137,0,0.0,5.7131902453071355,483.6072062318156,272.55441793132263,-22.430968541685615,15.475430599417951,-15032.094412541393,-8671.17452853154,0.8,CLUSTER_0_MEAN,0,948.74147800269,549.3441027199244,150.368,0.031999999999982265
150.368,948.74147800269,549.3441027199244,0.031999999999982265,-18.178083898774844,-7.542442864827763,19.680731150038316,615.0228484390382,13640.176664796616,-2.748291101974005,36,0,0.09600000000000364,0,0.0,19.680731150038316,533.5283187709214,241.6720862380407,1560.034766848716,17.072906200668125,-14938.092218593192,-8612.578296305277,0.8,CLUSTER_0_MEAN,0,947.0001462306336,546.0787009336799,150.4,0.03200000000001069
150.4,947.0001462306336,546.0787009336799,0.03200000000001069,-1.7413317720563555,-3.2654017862445244,3.7006871207901186,115.64647252465258,-15605.511747319337,-2.060702188693229,36,0,0.12800000000001432,0,0.0,3.7006871207901186,518.9204371664309,263.3677242407281,-456.49630013799504,16.60545398932427,-14690.12690416824,-8503.42751556098,0.8,CLUSTER_0_MEAN,0,950.362642586685,539.0849988728869,150.432,0.031999999999982265
150.432,950.362642586685,539.0849988728869,0.031999999999982265,3.362496356051338,-6.993702060792998,7.760041898056914,242.50130931441296,3964.213649682209,-1.1226351390124727,28,1,0.031999999999982265,0,0.0,7.760041898056914,510.3470731162265,271.5336232486506,-267.9176265664474,16.331106339717884,-14635.313782613488,-8445.497218504031,0.8,CLUSTER_0_MEAN,0,953.9352266292055,534.9251633790692,150.464,0.03200000000001069
150.464,953.9352266292055,534.9251633790692,0.03200000000001069,3.572584042520589,-4.159835493817695,5.48339202287218,171.3560007146984,-2223.290893740337,-0.8611993109688073,28,0,0.06399999999999295,0,0.0,5.48339202287218,449.8847336373462,273.1243201892072,-1889.4481087120341,14.39631147639307,-14659.77041226514,-8345.203960942205,0.8,CLUSTER_0_MEAN,0,943.7640251838164,536.56945826586,150.496,0.03200000000001069
150.496,943.7640251838164,536.56945826586,0.03200000000001069,-10.171201445389102,1.6442948867908171,10.303254074194802,321.97668981848005,4706.896534491604,2.981317478312286,28,0,0.09600000000000364,0,0.0,10.303254074194802,426.4807481666415,273.0468192537651,-731.3745459563199,13.647383941331848,-14698.438265313243,-8277.419749366565,0.8,CLUSTER_0_MEAN,0,942.2668945545146,536.1030244564712,150.528,0.031999999999982265
150.528,942.2668945545146,536.1030244564712,0.031999999999982265,-1.4971306293018642,-0.46643380938883183,1.568107336802801,49.00335427511469,-8530.416735734894,-2.839571818036534,28,0,0.1279999999999859,1,0.031999999999982265,0.0,379.8752942005749,295.12966609687675,-1456.4204364368948,12.156009414417081,-14569.838223735116,-8285.004521306504,0.8,CLUSTER_0_MEAN,0,922.3302578329004,532.254930477277,150.56,0.03200000000001069
150.56,922.3302578329004,532.254930477277,0.03200000000001069,-19.93663672161415,-3.848093979194232,20.304613048327827,634.5191577600327,18297.36885889758,-2.950921209869197,28,0,0.1599999999999966,0,0.0,20.304613048327827,395.0706646898432,304.75908773479574,474.8553277916768,12.642261270073828,-14535.888961744562,-8274.213775147837,0.8,CLUSTER_0_MEAN,0,919.8945168832398,531.7925471290926,150.592,0.03200000000001069
150.592,919.8945168832398,531.7925471290926,0.03200000000001069,-2.4357409496606124,-0.4623833481844031,2.479240273658808,77.47625855181188,-17407.59060025109,-2.953992156295905,28,0,0.19200000000000728,1,0.03200000000001069,0.0,304.29289054677963,237.12320022907045,-2836.8054419689824,9.737372497497626,-14276.20894920357,-8221.53602126805,0.8,CLUSTER_0_MEAN,0,922.5680478920776,528.9424677984522,150.624,0.031999999999982265
150.624,922.5680478920776,528.9424677984522,0.031999999999982265,2.673531008837813,-2.8500793306403693,3.9077768930890606,122.11802790910083,1395.055292416053,-0.8173497724283665,28,0,0.22399999999998954,0,0.0,3.9077768930890606,252.81573144731306,211.37508172168762,-1608.6612218568653,8.090103406313798,-14215.106201112649,-8207.628096441962,0.8,CLUSTER_0_MEAN,0,921.8864788577148,530.8420167760502,150.656,0.03200000000001069
150.656,921.8864788577148,530.8420167760502,0.03200000000001069,-0.6815690343628376,1.8995489775979877,2.0181235509492104,63.06636096714176,-1845.3645919356047,1.915294244036097,28,0,0.2560000000000002,1,0.03200000000001069,0.0,241.26864802744845,218.90358046056457,-360.84635686972115,7.7205967368780035,-14231.767231754895,-8166.53777550342,0.8,CLUSTER_0_MEAN,0,919.2246982444724,542.9671318696934,150.688,0.031999999999982265
150.688,919.2246982444724,542.9671318696934,0.031999999999982265,-2.6617806132423993,12.125115093643217,12.41384275988413,387.93258624659404,10152.06953998851,1.78689467366626,36,1,0.031999999999982265,0,0.0,12.41384275988413,218.55962180820399,184.97150158169217,-709.6570693505319,6.993907897862584,-14216.882436254517,-8183.210190590666,0.8,CLUSTER_0_MEAN,0,920.9458327372736,539.0570690192029,150.72,0.03200000000001069
150.72,920.9458327372736,539.0570690192029,0.03200000000001069,1.721134492801184,-3.910062850490476,4.272106674358178,133.5033335736485,-7950.914146026893,-1.1561380093659874,28,1,0.03200000000001069,0,0.0,4.272106674358178,220.34530791310362,183.95098281293502,55.802690778712716,7.051049853219391,-14177.427836147199,-8333.7208992899,0.8,CLUSTER_0_MEAN,0,924.150372651932,520.6365211036311,150.752,0.03200000000001069
150.752,924.150372651932,520.6365211036311,0.03200000000001069,3.204539914658426,-18.420547915571774,18.697209994395276,584.2878123246572,14087.01496096432,-1.398554591664268,28,0,0.06400000000002137,0,0.0,18.697209994395276,254.52395821412802,217.26152531910668,1068.0828219069238,8.144766662853227,-14191.310339081045,-8297.924679735861,0.8,CLUSTER_0_MEAN,0,929.86635726792,516.1902211312736,150.784,0.031999999999982265
150.784,929.86635726792,516.1902211312736,0.031999999999982265,5.7159846159879635,-4.446299972357565,7.241689276294444,226.3027898843268,-11187.031951266526,-0.6611013928787273,28,0,0.09600000000000364,0,0.0,7.241689276294444,260.0186371310908,215.61301333616987,171.7087161543048,8.320596388195453,-14228.860931280515,-8065.968800056652,0.8,CLUSTER_0_MEAN,0,926.0859302656944,505.70547422590545,150.816,0.03200000000001069
150.816,926.0859302656944,505.70547422590545,0.03200000000001069,-3.780427002225565,-10.484746905368127,11.145471994885757,348.2959998400636,3812.287811115501,-1.9168515076946835,28,0,0.12800000000001432,0,0.0,11.145471994885757,262.65056813324924,216.6116764948452,82.24784381669447,8.40481818026455,-14301.863248143327,-7986.54705791113,0.8,CLUSTER_0_MEAN,0,925.9332168268908,500.73648381699786,150.848,0.03200000000001069
150.848,925.9332168268908,500.73648381699786,0.03200000000001069,-0.1527134388036302,-4.968990408907587,4.971336548475351,155.35426713980286,-6029.429146881134,-1.6015199491794156,28,0,0.160000000000025,0,0.0,4.971336548475351,273.285659419718,207.3702748697456,332.3466027020705,8.745141101431804,-14260.529050781115,-7839.387334914718,0.8,CLUSTER_0_MEAN,0,926.141580706438,498.1636846637431,150.88,0.031999999999982265
150.88,926.141580706438,498.1636846637431,0.031999999999982265,0.20836387954727797,-2.5727991532547776,2.5812227701786017,80.663211568126,-2334.0954866161956,-1.48998546539169,28,0,0.19200000000000728,0,0.0,2.5812227701786017,217.90006480052733,170.9320866685979,-1730.7998318493069,6.972802073616881,-14255.2548052185,-7755.9710131789,0.8,CLUSTER_0_MEAN,0,927.7905375793988,494.15049399661655,150.912,0.03200000000001069
150.912,927.7905375793988,494.15049399661655,0.03200000000001069,1.6489568729607527,-4.013190667126537,4.338750753338574,135.58596104178514,1716.335921051275,-1.180942324628093,28,0,0.22400000000001796,0,0.0,4.338750753338574,223.71103504952467,166.55966459827553,181.59282028092963,7.1587531215848585,-14255.914562827038,-7707.288000562724,0.8,CLUSTER_0_MEAN,0,926.3943532016872,522.9878362287624,150.944,0.031999999999982265
150.944,926.3943532016872,522.9878362287624,0.031999999999982265,-1.39618437771162,28.83734223214583,28.871121173769254,902.2225366807892,23957.392988732154,1.6191743974563337,28,0,0.2560000000000002,0,0.0,28.871121173769254,301.7214859266935,266.43312922242825,2437.8265899125395,9.655087549652878,-14275.748298581777,-7644.923689890625,0.8,CLUSTER_0_MEAN,0,926.9669587362348,510.19245332355734,150.976,0.03200000000001069
150.976,926.9669587362348,510.19245332355734,0.03200000000001069,0.5726055345476198,-12.795382905205031,12.80818881766691,400.25590055195727,-15686.457379020758,-1.5260752148840833,28,0,0.2880000000000109,0,0.0,12.80818881766691,335.44043988517507,253.91656432791677,1053.7173112040243,10.734094076324647,-14259.588347406743,-7995.19441769512,0.8,CLUSTER_0_MEAN,0,931.1511242301506,515.4999838737883,151.008,0.03200000000001069
151.008,931.1511242301506,515.4999838737883,0.03200000000001069,4.184165493915771,5.307530550230979,6.758485142553068,211.20266070471286,-5907.913745224415,0.9032025679939196,28,0,0.3200000000000216,0,0.0,6.758485142553068,317.76744733098695,255.99888203937726,-552.2810173172683,10.168558314591541,-14265.264447278516,-7863.994629233126,0.8,CLUSTER_0_MEAN,0,939.7448975823336,524.7965102670719,151.04,0.031999999999982265
151.04,939.7448975823336,524.7965102670719,0.031999999999982265,8.593773352183007,9.296526393283557,12.660108349050908,395.6283859080601,5763.3039126077965,0.8246592117008875,28,0,0.35200000000000387,0,0.0,12.660108349050908,343.9799525644281,248.3404822863365,819.1407885462006,11.007358482060814,-14317.955534659637,-7924.550681936076,0.8,CLUSTER_0_MEAN,0,947.59255088199,522.2553437156782,151.072,0.03200000000001069
151.072,947.59255088199,522.2553437156782,0.03200000000001069,7.847653299656372,-2.541166551393644,8.248829599011572,257.77592496902554,-4307.889404343392,-0.31315727724102216,28,0,0.38400000000001455,0,0.0,8.248829599011572,311.3287638288649,234.30256363480248,-1020.3496479845704,9.962520442522443,-14431.047634014027,-8046.18515064791,0.8,CLUSTER_0_MEAN,0,955.6183795249372,511.87544911945406,151.104,0.03200000000001069
151.104,955.6183795249372,511.87544911945406,0.03200000000001069,8.025828642947204,-10.379894596224176,13.12082837456064,410.0258867048831,4757.811304243959,-0.9126061235303335,28,0,0.41600000000002524,0,0.0,13.12082837456064,329.70107351092054,234.0976790717021,574.1346775664781,10.550434352349063,-14542.311853111732,-8027.6508130586835,0.8,CLUSTER_0_MEAN,0,959.5823384738512,514.4280712246206,151.136,0.031999999999982265
151.136,959.5823384738512,514.4280712246206,0.031999999999982265,3.963958948914069,2.552622105166506,4.714748154510548,147.33587982853626,-8209.062714890388,0.5721158623911687,28,0,0.4480000000000075,0,0.0,4.714748154510548,309.6050615097678,240.85226124441735,-628.0003750341108,9.907361968311545,-14658.193081758709,-7899.548579734061,0.8,CLUSTER_0_MEAN,0,959.0133595376292,518.9909094277272,151.168,0.03200000000001069
